"Vcmax","Line","adjusted_Vcmax"
12.2924774689223,"B1K-02-02",102.925282322842
-11.6673832245264,"B1K-03-17",78.965421629393
4.17427303818987,"B1K-04-03",94.8070778921093
-5.11350040382239,"B1K-05-03",85.519304450097
-3.44934041846258,"B1K-05-08",87.1834644354568
-6.83195150747336,"B1K-05-12",83.800853346446
0.922224018876144,"B1K-06-19",91.5550288727956
10.24155162733,"B1K-08-03",100.874356481249
-13.2883307081531,"B1K-08-06",77.3444741457664
-18.7839790568653,"B1K-08-09",71.8488257970541
-1.14751226793346,"B1K-10-01",89.485292585986
-7.29659497388435,"B1K-11-10",83.3362098800351
-3.22716808094111,"B1K-12-10",87.4056367729783
-6.10123570025786,"B1K-13-03",84.5315691536616
10.8230088132258,"B1K-13-20",101.455813667145
-11.3194580730408,"B1K-14-04",79.3133467808787
1.05425136501369,"B1K-15-05",91.6870562189331
8.05148647855147,"B1K-17-17",98.6842913324709
-10.6582807896698,"B1K-18-16",79.9745240642497
4.51853269667258,"B1K-19-01",95.151337550592
6.3901118893106,"B1K-19-12",97.02291674323
9.49610383217755,"B1K-19-20",100.128908686097
5.37730864344819,"B1K-20-02",96.0101134973676
0.836635596084693,"B1K-20-13",91.4694404500041
-11.6204507819827,"B1K-21-03",79.0123540719367
0.755434884163983,"B1K-21-11",91.3882397380834
-0.239589690590462,"B1K-23-12",90.3932151633289
2.62426846603597,"B1K-24-01",93.2570733199554
2.28154166375426,"B1K-24-18",92.9143465176737
-2.33550679422879,"B1K-25-13",88.2972980596906
6.61512105007399,"B1K-25-20",97.2479259039934
0.146714512550798,"B1K-26-03",90.7795193664702
-3.4228913730124,"B1K-27-02",87.209913480907
9.1844676068814,"B1K-27-11",99.8172724608008
18.6477430356103,"B1K-28-13",109.28054788953
9.11807672075585,"B1K-31-19",99.7508815746753
-11.9399845849779,"B1K-34-20",78.6928202689415
2.47263857946442,"B1K-36-04",93.1054434333838
3.70221912571648,"B1K-42-07",94.3350239796359
3.13226879448056,"B1K-44-02",93.7650736484
9.56989595374227,"B1K-46-07",100.202700807662
-3.95666653820963,"B1K-46-15",86.6761383157098
-3.6122228793677,"B1K-49-10",87.0205819745517
12.4306499959737,"B1K-50-07",103.063454849893
-7.54008846589384,"B1K-51-01",83.0927163880256
-9.99877834064597,"B1K-51-10",80.6340265132734
-1.30809120307048,"B1K-51-19",89.3247136508489
