"SLA","Line","adjusted_SLA"
-16.274229993865,"B1K-01-20",212.324001283492
23.8286249432429,"B1K-02-01",252.4268562206
7.4505994166125,"B1K-02-02",236.04883069397
35.043241859042,"B1K-02-04",263.641473136399
-8.65738752960113,"B1K-02-05",219.940843747756
0.49434751136251,"B1K-02-06",229.09257878872
-12.8143840670345,"B1K-02-10",215.783847210323
-2.03074205928697,"B1K-02-12",226.56748921807
-1.5747309864097,"B1K-02-13",227.023500290948
-2.66097974365997,"B1K-02-14",225.937251533697
-2.16675054455379,"B1K-02-16",226.431480732803
1.46334640778538,"B1K-02-18",230.061577685143
19.6946735081684,"B1K-03-03",248.292904785526
-4.7107010980301,"B1K-03-04",223.887530179327
15.3207957136059,"B1K-03-09",243.919026990963
13.5666199620428,"B1K-03-10",242.1648512394
5.42388035316087,"B1K-03-11",234.022111630518
-9.39854025354448,"B1K-03-14",219.199691023813
-17.7237921611132,"B1K-03-16",210.874439116244
6.90580871304537,"B1K-03-17",235.504039990403
-15.8534171995122,"B1K-04-03",212.744814077845
-5.17101644059574,"B1K-04-04",223.427214836762
-3.61661303905166,"B1K-04-08",224.981618238306
-15.9418647884979,"B1K-04-12",212.656366488859
-19.526850059504,"B1K-04-19",209.071381217853
-23.9304284227219,"B1K-04-20",204.667802854635
-3.09712850364379,"B1K-05-03",225.501102773713
-10.4042253863551,"B1K-05-07",218.194005891002
3.66742368638632,"B1K-05-08",232.265654963744
-15.6441848018259,"B1K-05-10",212.954046475531
-15.5626242904971,"B1K-05-12",213.03560698686
-20.4433542527416,"B1K-05-13",208.154877024616
3.54209227633483,"B1K-05-16",232.140323553692
9.30662658603317,"B1K-05-17",237.90485786339
-14.6983241898049,"B1K-06-01",213.899907087552
3.98087917835462,"B1K-06-06",232.579110455712
-15.6909316979765,"B1K-06-07",212.907299579381
-7.06676651275481,"B1K-06-10",221.531464764602
0.832016920325356,"B1K-06-14",229.430248197683
-18.6436401895954,"B1K-06-15",209.954591087762
-10.6357413345565,"B1K-06-19",217.962489942801
-18.0316858284626,"B1K-06-20",210.566545448895
-10.958461349396,"B1K-07-02",217.639769927961
-18.1682384217749,"B1K-07-05",210.429992855582
-5.83679638856504,"B1K-08-01",222.761434888792
3.36778872802492,"B1K-08-02",231.966020005382
-5.88041232127972,"B1K-08-03",222.717818956078
-2.97606390077239,"B1K-08-05",225.622167376585
-7.84319210622267,"B1K-08-06",220.755039171135
-4.6228705902485,"B1K-08-08",223.975360687109
-20.9240530735496,"B1K-08-09",207.674178203808
0.907814157735957,"B1K-08-10",229.506045435093
6.14789328209972,"B1K-08-15",234.746124559457
2.47166792422282,"B1K-08-16",231.06989920158
-12.9563191763632,"B1K-08-17",215.641912100994
14.3667316704323,"B1K-08-18",242.96496294779
13.9561279955572,"B1K-09-01",242.554359272914
13.8493287172389,"B1K-09-03",242.447559994596
9.33227340173113,"B1K-09-04",237.930504679088
11.7004157474215,"B1K-09-07",240.298647024779
9.6612984191273,"B1K-09-09",238.259529696485
11.4382995853908,"B1K-09-10",240.036530862748
-4.97078082903861,"B1K-09-11",223.627450448319
7.48955237474927,"B1K-09-16",236.087783652107
13.1304952011835,"B1K-09-18",241.728726478541
31.9527851599647,"B1K-10-01",260.551016437322
9.77455277790007,"B1K-10-03",238.372784055257
-11.1647639460753,"B1K-10-10",217.433467331282
-10.9647775599053,"B1K-10-12",217.633453717452
4.90747466278661,"B1K-10-13",233.505705940144
2.84328755326036,"B1K-10-18",231.441518830618
-9.2699472596443,"B1K-11-04",219.328284017713
37.5706080503402,"B1K-11-05",266.168839327697
-12.0651349959194,"B1K-11-09",216.533096281438
-3.41072069004523,"B1K-11-10",225.187510587312
12.2364135432364,"B1K-11-15",240.834644820594
16.2141487157801,"B1K-11-16",244.812379993137
-21.4471654211517,"B1K-11-18",207.151065856206
-16.3393709984433,"B1K-11-20",212.258860278914
5.67575530432471,"B1K-12-03",234.273986581682
-5.44538741101872,"B1K-12-05",223.152843866339
-1.18893401277618,"B1K-12-06",227.409297264581
-11.1097946570526,"B1K-12-10",217.488436620305
-7.21221883820709,"B1K-13-03",221.38601243915
-1.59575418847635,"B1K-13-06",227.002477088881
-13.9469417726719,"B1K-13-10",214.651289504685
3.51406332484059,"B1K-13-14",232.112294602198
-11.7634631645209,"B1K-13-15",216.834768112836
-2.70220193080109,"B1K-13-20",225.896029346556
-3.19171120231136,"B1K-14-01",225.406520075046
-10.2838147386548,"B1K-14-04",218.314416538702
-8.8315479806469,"B1K-14-06",219.76668329671
-16.0989813771188,"B1K-14-12",212.499249900239
-4.15236545398845,"B1K-14-13",224.445865823369
-2.22799830381741,"B1K-14-17",226.37023297354
-17.754411077205,"B1K-15-04",210.843820200152
-0.425865758893799,"B1K-15-05",228.172365518463
-21.6871831335985,"B1K-15-06",206.911048143759
-17.1178649844848,"B1K-15-07",211.480366292872
2.15817776441143,"B1K-15-12",230.756409041769
0.113317278793117,"B1K-15-17",228.71154855615
-11.7778762287954,"B1K-15-19",216.820355048562
-6.00269999870621,"B1K-15-20",222.595531278651
10.88482162052,"B1K-16-01",239.483052897877
-6.70891874903778,"B1K-16-06",221.88931252832
-13.0827706843033,"B1K-16-10",215.515460593054
-16.2912861621108,"B1K-16-15",212.306945115246
3.47378316766634,"B1K-16-20",232.072014445024
2.43783519375006,"B1K-17-01",231.036066471107
-11.3226497195218,"B1K-17-03",217.275581557836
16.3289298665868,"B1K-17-07",244.927161143944
-0.26478044795919,"B1K-17-10",228.333450829398
16.0716467531776,"B1K-17-13",244.669878030535
15.1411862405423,"B1K-17-17",243.7394175179
15.3589044746157,"B1K-17-18",243.957135751973
13.6086186718016,"B1K-18-02",242.206849949159
17.9272675083691,"B1K-18-03",246.525498785726
