"Days_to_Heading","Line","adjusted_hd"
0.0257747562209709,"B1K-01-20",33.6130986998829
-0.899413952348966,"B1K-02-01",32.687909991313
-0.574961990390539,"B1K-02-02",33.0123619532714
-0.222402631171021,"B1K-02-04",33.3649213124909
-0.6827228322076,"B1K-02-05",32.9046011114544
1.89999824711924,"B1K-02-06",35.4873221907812
0.327446306255181,"B1K-02-10",33.9147702499172
-0.530964903556622,"B1K-02-12",33.0563590401053
0.494390152604855,"B1K-02-13",34.0817140962668
-0.356425797649205,"B1K-02-14",33.2308981460128
-0.723057821339005,"B1K-02-16",32.864266122323
0.0174523761042142,"B1K-02-18",33.6047763197662
-0.784092325871284,"B1K-03-03",32.8032316177907
0.429035898994959,"B1K-03-04",34.0163598426569
-0.637056793160423,"B1K-03-09",32.9502671505015
-0.251494908148086,"B1K-03-10",33.3358290355139
-0.582598211088032,"B1K-03-11",33.0047257325739
-0.325071615559451,"B1K-03-14",33.2622523281025
-0.782576424165623,"B1K-03-16",32.8047475194963
0.0263629526527797,"B1K-03-17",33.6136868963148
-0.989042914620117,"B1K-04-03",32.5982810290419
-0.800760389132123,"B1K-04-04",32.7865635545298
-0.701126971620514,"B1K-04-08",32.8861969720415
-0.737785989811975,"B1K-04-12",32.84953795385
-3.16791051540175,"B1K-04-19",30.4194134282602
-0.776702294139501,"B1K-04-20",32.8106216495225
-5.28517810685951,"B1K-05-03",28.3021458368025
-4.70874166297324,"B1K-05-07",28.8785822806887
-6.46962517208631,"B1K-05-08",27.1176987715757
-6.12014151252392,"B1K-05-10",27.4671824311381
-6.27095890659504,"B1K-05-12",27.3163650370669
-3.31955887962964,"B1K-05-13",30.2677650640323
-2.56899183348859,"B1K-05-16",31.0183321101734
-6.19802368745396,"B1K-05-17",27.389300256208
-1.84300539374533,"B1K-06-01",31.7443185499166
-6.18773737177152,"B1K-06-06",27.3995865718905
-2.51347706801128,"B1K-06-07",31.0738468756507
-0.750998803534156,"B1K-06-10",32.8363251401278
-0.912150991459584,"B1K-06-14",32.6751729522024
0.129491056145446,"B1K-06-15",33.7168149998074
3.61024309567596,"B1K-06-19",37.1975670393379
-4.02385385667754,"B1K-06-20",29.5634700869844
-0.558929043080273,"B1K-07-02",33.0283949005817
-0.615528676378207,"B1K-07-05",32.9717952672838
-0.809668370457229,"B1K-08-01",32.7776555732047
-2.59245157516895,"B1K-08-02",30.994872368493
-0.734413542937939,"B1K-08-03",32.852910400724
-0.818840682658356,"B1K-08-05",32.7684832610036
0.732711647226529,"B1K-08-06",34.3200355908885
-2.06001499049253,"B1K-08-08",31.5273089531694
0.073893924038659,"B1K-08-09",33.6612178677006
-0.453525876165221,"B1K-08-10",33.1337980674967
-4.35621856871243,"B1K-08-15",29.2311053749495
-2.82175379702203,"B1K-08-16",30.7655701466399
-1.00372633908594,"B1K-08-17",32.583597604576
-0.135300576310347,"B1K-08-18",33.4520233673516
-0.306098336832517,"B1K-09-01",33.2812256068295
-0.466295282155552,"B1K-09-03",33.1210286615064
-0.525203113887775,"B1K-09-04",33.0621208297742
0.772632667237005,"B1K-09-07",34.359956610899
-0.499826156393206,"B1K-09-09",33.0874977872688
-0.795706348151568,"B1K-09-10",32.7916175955104
-0.329163495435858,"B1K-09-11",33.2581604482261
-0.603996568672406,"B1K-09-16",32.9833273749896
0.406302938600547,"B1K-09-18",33.9936268822625
-0.389435124642931,"B1K-10-01",33.197888819019
-0.447580177345086,"B1K-10-03",33.1397437663169
-0.915165991400524,"B1K-10-10",32.6721579522615
-2.39241136654685,"B1K-10-12",31.1949125771151
-0.616261207431906,"B1K-10-13",32.9710627362301
-0.375491173575409,"B1K-10-18",33.2118327700866
-0.259150315237331,"B1K-11-04",33.3281736284246
-0.845490690679298,"B1K-11-05",32.7418332529827
-0.659600683466847,"B1K-11-09",32.9277232601951
-0.211272140638811,"B1K-11-10",33.3760518030232
-0.278697933681014,"B1K-11-15",33.308626009981
-0.138682544633627,"B1K-11-16",33.4486413990283
-0.291364625299886,"B1K-11-18",33.2959593183621
-0.734413542937939,"B1K-11-20",32.852910400724
-9.11513830462773,"B1K-12-03",24.4721856390342
-3.17810611123969,"B1K-12-05",30.4092178324223
-2.67544203287322,"B1K-12-06",30.9118819107888
-4.11094899566199,"B1K-12-10",29.476374948
0.0549447677290113,"B1K-13-03",33.642268711391
3.60882643373274,"B1K-13-06",37.1961503773947
-0.594873400213247,"B1K-13-10",32.9924505434487
0.718425193370986,"B1K-13-14",34.305749137033
1.66418490073375,"B1K-13-15",35.2515088443957
-0.805456129585286,"B1K-13-20",32.7818678140767
0.139137561160595,"B1K-14-01",33.7264615048226
-0.650562062267377,"B1K-14-04",32.9367618813946
0.0119261592749543,"B1K-14-06",33.5992501029369
3.12936907179958,"B1K-14-12",36.7166930154616
-0.659819324483254,"B1K-14-13",32.9275046191787
-0.375491173575409,"B1K-14-17",33.2118327700866
-0.309850252271688,"B1K-15-04",33.2774736913903
-0.345647717976686,"B1K-15-05",33.2416762256853
0.615356938562647,"B1K-15-06",34.2026808822246
-0.721526719295476,"B1K-15-07",32.8657972243665
-0.0597718384278536,"B1K-15-12",33.5275521052341
0.88354680668712,"B1K-15-17",34.4708707503491
0.498663429341114,"B1K-15-19",34.0859873730031
-3.00084707233185,"B1K-15-20",30.5864768713301
-1.98431920780432,"B1K-16-01",31.6030047358576
-0.205963924190131,"B1K-16-06",33.3813600194718
-0.603432077892158,"B1K-16-10",32.9838918657698
-1.8320961116209,"B1K-16-15",31.7552278320411
0.519048852243921,"B1K-16-20",34.1063727959059
