"Wavelength","2103 3","2104 3","2106 3","2108 3","2111 3","2113 3","2116 3","2117 3","2118 3","2120 3","2121 3","2123 3","2125 3","2126 3","2127 3","2133 3","2134 3","2135 3","2141 3","2145 3","2151 3","2152 3","2155 3","2157 3","2159 3","2160 3","2161 3","2162 3","2166 3","2167 3","2168 3","2170 3","2174 3","2178 3","2180 3","2181 3","2183 3","2184 3","2187 3","2188 3","2191 3","2192 3","2194 3","2195 3","2196 3","2197 3","2203 3","2208 3","2209 3","2210 3","2213 3","2214 3","2215 3","2216 3","2221 3","2222 3","2224 3","2226 3","2227 3","2230 3","2231 3","2233 3","2235 3","2236 3","2239 3","2241 3","2242 3","2246 3","2252 3","2254 3","2255 3","2257 3","2262 3","2263 3","2265 3","2271 3","2275 3","2276 3","2280 3","2285 3","2297 3","2298 3","2301 3","2307 3","2314 3","2318 3"
"360","0.04580487","0.04486127","0.04293994","0.04149882","0.04075345","0.03239774","0.04010587","0.04045497","0.04259882","0.04661418","0.05143139","0.04007250","0.04335767","0.03754343","0.04432841","0.04587927","0.04155168","0.04199957","0.03888511","0.03992449","0.05469631","0.04026804","0.04369717","0.03767759","0.03887427","0.03919468","0.04370547","0.04313501","0.04774860","0.03889043","0.04405804","0.04699386","0.05628678","0.04405072","0.03869459","0.04588634","0.03772030","0.05016468","0.04790603","0.03687863","0.04744410","0.04296071","0.04278103","0.04736176","0.04114171","0.04747875","0.04608793","0.03509654","0.04539493","0.04312562","0.04615850","0.03765094","0.03936673","0.03292948","0.03326883","0.04929220","0.03426086","0.04092778","0.04247522","0.03657367","0.04007757","0.03974066","0.04239242","0.03832947","0.04298140","0.04644502","0.03150966","0.04159441","0.04741213","0.03935265","0.03780079","0.04233715","0.04116876","0.04574009","0.04719343","0.03926838","0.02778659","0.04370082","0.03571428","0.02497509","0.03919607","0.03655470","0.04059627","0.03282596","0.03668495","0.03382488"
"361","0.04756094","0.04615680","0.04373883","0.04244950","0.04254052","0.03378184","0.04029977","0.04142497","0.04280294","0.04792306","0.05248855","0.04074549","0.04421017","0.03900246","0.04596170","0.04676474","0.04292747","0.04326660","0.03944105","0.04074309","0.05615578","0.04127317","0.04494573","0.03856348","0.03868793","0.04051394","0.04394099","0.04381609","0.04949043","0.04017893","0.04525519","0.04774980","0.05691488","0.04541649","0.03976055","0.04717622","0.03872004","0.05125195","0.04964389","0.03843877","0.04867266","0.04439858","0.04325268","0.04809242","0.04220799","0.04773617","0.04767356","0.03671272","0.04657658","0.04349370","0.04777550","0.03889532","0.03986177","0.03416437","0.03428879","0.05022115","0.03522221","0.04195848","0.04414592","0.03726505","0.04156462","0.04116095","0.04293837","0.03948387","0.04413749","0.04667077","0.03235438","0.04319344","0.04796464","0.04100473","0.03876912","0.04418564","0.04266495","0.04663933","0.04901702","0.04040365","0.02903696","0.04560306","0.03745454","0.02618556","0.03968842","0.03688054","0.04211864","0.03338505","0.03749112","0.03519302"
"362","0.04716339","0.04483328","0.04264361","0.04197242","0.04203001","0.03335822","0.03866867","0.04073275","0.04203333","0.04755601","0.05181098","0.03996187","0.04355227","0.03896963","0.04566898","0.04590504","0.04237644","0.04219225","0.03848469","0.03944588","0.05529900","0.04054134","0.04407241","0.03739382","0.03755824","0.04010575","0.04301793","0.04285693","0.04848128","0.03948370","0.04461774","0.04713822","0.05542255","0.04522255","0.03923215","0.04678965","0.03837250","0.05080302","0.04844657","0.03720123","0.04793313","0.04422191","0.04208555","0.04757536","0.04124117","0.04656620","0.04705014","0.03602292","0.04582381","0.04302000","0.04763203","0.03800254","0.03889779","0.03389386","0.03369490","0.04941249","0.03451202","0.04084506","0.04318577","0.03612460","0.04107838","0.04073143","0.04187142","0.03877895","0.04374551","0.04528234","0.03151325","0.04270019","0.04694191","0.04097359","0.03775073","0.04385482","0.04201993","0.04634703","0.04833306","0.04011670","0.02855136","0.04477060","0.03712689","0.02600461","0.03815398","0.03621991","0.04118713","0.03297403","0.03671409","0.03454269"
"363","0.04428322","0.04185316","0.04008981","0.03997670","0.03910096","0.03117089","0.03623682","0.03869289","0.04064659","0.04508923","0.04954275","0.03816589","0.04132574","0.03702634","0.04322102","0.04336507","0.03962066","0.03963912","0.03622320","0.03697230","0.05239941","0.03813729","0.04099048","0.03489020","0.03631342","0.03776044","0.04112326","0.04057523","0.04528068","0.03719469","0.04230064","0.04521921","0.05275180","0.04316476","0.03705979","0.04455709","0.03649096","0.04860680","0.04500716","0.03386898","0.04535551","0.04247606","0.03970106","0.04578786","0.03848239","0.04455442","0.04427354","0.03337285","0.04267384","0.04160807","0.04513661","0.03511319","0.03675701","0.03168864","0.03148803","0.04711613","0.03248054","0.03845714","0.04013049","0.03376596","0.03843947","0.03834214","0.03995661","0.03621933","0.04173887","0.04328878","0.02966181","0.04014861","0.04508699","0.03861076","0.03539583","0.04079462","0.03916274","0.04466980","0.04509073","0.03826332","0.02627957","0.04143739","0.03426498","0.02438486","0.03557638","0.03486249","0.03831792","0.03161729","0.03493049","0.03219802"
"364","0.04471568","0.04338368","0.04038019","0.04054582","0.03934672","0.03152017","0.03703454","0.03984519","0.04132538","0.04550489","0.04963805","0.03926743","0.04202524","0.03715846","0.04332175","0.04439241","0.04012188","0.04052785","0.03758776","0.03874619","0.05271612","0.03965392","0.04193324","0.03585927","0.03721353","0.03826302","0.04174028","0.04137082","0.04703845","0.03854114","0.04307728","0.04569327","0.05371455","0.04379740","0.03731840","0.04498136","0.03645972","0.04932116","0.04673834","0.03521034","0.04641249","0.04308845","0.04073590","0.04637923","0.03930685","0.04444732","0.04493132","0.03485111","0.04379015","0.04137056","0.04560315","0.03607014","0.03790414","0.03241083","0.03203448","0.04825641","0.03371806","0.03907701","0.04069771","0.03480082","0.03864777","0.03876625","0.04151050","0.03601828","0.04195753","0.04498915","0.03104250","0.04070831","0.04529785","0.03936070","0.03628615","0.04227971","0.03955634","0.04489093","0.04536013","0.03859026","0.02585919","0.04275876","0.03477241","0.02446360","0.03613684","0.03492368","0.03932410","0.03139333","0.03661770","0.03285248"
"365","0.04413774","0.04326772","0.04000453","0.04027267","0.03918109","0.03156682","0.03744030","0.03959270","0.04045911","0.04542172","0.04962220","0.03876713","0.04147918","0.03679949","0.04299871","0.04426796","0.04008905","0.04026834","0.03754888","0.03879193","0.05304012","0.03967874","0.04186705","0.03583281","0.03687508","0.03784708","0.04164077","0.04063028","0.04645530","0.03887265","0.04254506","0.04523640","0.05313573","0.04305522","0.03688648","0.04494070","0.03668687","0.04893348","0.04654903","0.03508318","0.04610511","0.04233570","0.04013054","0.04602375","0.03932634","0.04438451","0.04469308","0.03420809","0.04345933","0.04153047","0.04524265","0.03610659","0.03720800","0.03228378","0.03160494","0.04841160","0.03350879","0.03910310","0.04056835","0.03419670","0.03858280","0.03877151","0.04082017","0.03580832","0.04135793","0.04473448","0.03022627","0.04069456","0.04445518","0.03896713","0.03602107","0.04212931","0.03960979","0.04397026","0.04576633","0.03827490","0.02592656","0.04294524","0.03464353","0.02403916","0.03589189","0.03491759","0.03948486","0.03157676","0.03574144","0.03274275"
"366","0.04357450","0.04261414","0.03905447","0.03926744","0.03862747","0.03125731","0.03672437","0.03862954","0.03924885","0.04464210","0.04941740","0.03775787","0.04096256","0.03621709","0.04248038","0.04352480","0.03955923","0.03959825","0.03664045","0.03772687","0.05294751","0.03885276","0.04160579","0.03517586","0.03573025","0.03716857","0.04097023","0.03980279","0.04501409","0.03822578","0.04153651","0.04429480","0.05203588","0.04207022","0.03632537","0.04443020","0.03673181","0.04815777","0.04527964","0.03448098","0.04496795","0.04148455","0.03891373","0.04519553","0.03888903","0.04413410","0.04400438","0.03332780","0.04252392","0.04125544","0.04490285","0.03562674","0.03607904","0.03174124","0.03118757","0.04765384","0.03282017","0.03856597","0.03971460","0.03305843","0.03807696","0.03850681","0.03953816","0.03554328","0.04058991","0.04377253","0.02899968","0.04060409","0.04370982","0.03843328","0.03519305","0.04117051","0.03940315","0.04322956","0.04551494","0.03774596","0.02594520","0.04241145","0.03423498","0.02372861","0.03543769","0.03464610","0.03857974","0.03187296","0.03387740","0.03236840"
"367","0.04428028","0.04315660","0.03852813","0.03850562","0.03851221","0.03111915","0.03555012","0.03844959","0.03927412","0.04392714","0.04942874","0.03800206","0.04184388","0.03607663","0.04250449","0.04346702","0.03935455","0.03988649","0.03636875","0.03733947","0.05268165","0.03876857","0.04238826","0.03505769","0.03512519","0.03745931","0.04058835","0.04061188","0.04519988","0.03767206","0.04150006","0.04399444","0.05215859","0.04233121","0.03661235","0.04413169","0.03663695","0.04831113","0.04507540","0.03500619","0.04456054","0.04202642","0.03886235","0.04492756","0.03902811","0.04396493","0.04396985","0.03449416","0.04266845","0.04043535","0.04558584","0.03579207","0.03647290","0.03179933","0.03192004","0.04708805","0.03315377","0.03835254","0.03921759","0.03317307","0.03779405","0.03859318","0.03992219","0.03564983","0.04071736","0.04406942","0.02967698","0.04119453","0.04423701","0.03918458","0.03517727","0.04123576","0.03964600","0.04401640","0.04486683","0.03777334","0.02587848","0.04242295","0.03441813","0.02418511","0.03580763","0.03436647","0.03763246","0.03215748","0.03369684","0.03272397"
"368","0.04428702","0.04288539","0.03956344","0.03881325","0.03964590","0.03139447","0.03654024","0.03891709","0.03954923","0.04458947","0.04986244","0.03916129","0.04173352","0.03623850","0.04315250","0.04370622","0.03988379","0.04043595","0.03691162","0.03781709","0.05246278","0.03922512","0.04238072","0.03534622","0.03620180","0.03857183","0.04096073","0.04103379","0.04582850","0.03777309","0.04184066","0.04474616","0.05265832","0.04254792","0.03734640","0.04454618","0.03731254","0.04908428","0.04599962","0.03454572","0.04537759","0.04241131","0.03934244","0.04507036","0.03930982","0.04452810","0.04411661","0.03517464","0.04316189","0.04134599","0.04535349","0.03623893","0.03706091","0.03207890","0.03188060","0.04746679","0.03324360","0.03924571","0.04041861","0.03374102","0.03887934","0.03860489","0.04040993","0.03646853","0.04144977","0.04434745","0.03077533","0.04088581","0.04408753","0.04017562","0.03596137","0.04192683","0.04035159","0.04464294","0.04549491","0.03773679","0.02681407","0.04195054","0.03439376","0.02414470","0.03592272","0.03481230","0.03791935","0.03273692","0.03541548","0.03315606"
"369","0.04362726","0.04241923","0.03895416","0.03924507","0.03873803","0.03120079","0.03657085","0.03830491","0.03949210","0.04453627","0.04919316","0.03846759","0.04072429","0.03547501","0.04250820","0.04348204","0.03944512","0.03982527","0.03632934","0.03741505","0.05144475","0.03893013","0.04140849","0.03521986","0.03628405","0.03786059","0.04031649","0.04077459","0.04535637","0.03712348","0.04093115","0.04435186","0.05267802","0.04197788","0.03717479","0.04391382","0.03604251","0.04843211","0.04547901","0.03422067","0.04497174","0.04207960","0.03902548","0.04435797","0.03854700","0.04420879","0.04351209","0.03403112","0.04294626","0.04101215","0.04455360","0.03516761","0.03626978","0.03193954","0.03125056","0.04706558","0.03291579","0.03899446","0.04001317","0.03293481","0.03855115","0.03791351","0.03983939","0.03602118","0.04065488","0.04391895","0.02987519","0.04031866","0.04338290","0.03950179","0.03559023","0.04154380","0.03982215","0.04405336","0.04474694","0.03730043","0.02684546","0.04190615","0.03393436","0.02358062","0.03546162","0.03435340","0.03780569","0.03190167","0.03546896","0.03268441"
