"","SLA.6.comps"
"(Intercept)",228.478590022589
"Wave_350",14.1779433428321
"Wave_351",13.8962750759126
"Wave_352",18.1579766456495
"Wave_353",15.7510404413123
"Wave_354",13.0541484791916
"Wave_355",12.8538336850305
"Wave_356",15.5356694297429
"Wave_357",17.4315192707262
"Wave_358",18.846946693557
"Wave_359",18.2383955944556
"Wave_360",13.6153699254729
"Wave_361",15.5626519993386
"Wave_362",17.263015444157
"Wave_363",15.1538915103526
"Wave_364",13.6326094831817
"Wave_365",14.6312562366821
"Wave_366",16.279606307185
"Wave_367",16.6566009818033
"Wave_368",17.2846678959373
"Wave_369",16.0242762521181
"Wave_370",14.872331566106
"Wave_371",16.7599975832251
"Wave_372",16.9820832906353
"Wave_373",17.0858159823937
"Wave_374",17.9618201243442
"Wave_375",19.2859468005538
"Wave_376",19.3220201698462
"Wave_377",19.8570871260375
"Wave_378",21.474437768639
"Wave_379",20.4744428766614
"Wave_380",21.9885553038991
"Wave_381",23.99608087019
"Wave_382",23.4581160213144
"Wave_383",24.1038826988619
"Wave_384",25.2580215502859
"Wave_385",26.0666216421472
"Wave_386",25.9320427035142
"Wave_387",27.2258692212356
"Wave_388",28.5915754687012
"Wave_389",29.2634623943222
"Wave_390",30.039691261414
"Wave_391",31.7061354660255
"Wave_392",33.1653830151809
"Wave_393",33.4023120870088
"Wave_394",33.1155424265502
"Wave_395",34.044884640891
"Wave_396",35.9023029999023
"Wave_397",37.2592667553231
"Wave_398",37.2150300879303
"Wave_399",37.7285383702601
"Wave_400",38.9746129003945
"Wave_401",38.9204701115745
"Wave_402",38.6712455182047
"Wave_403",39.1146443272481
"Wave_404",40.3947141899463
"Wave_405",41.1434385884772
"Wave_406",41.0618718238043
"Wave_407",40.6697303008615
"Wave_408",40.6289916998501
"Wave_409",40.1202261027233
"Wave_410",39.9655554116616
"Wave_411",39.8990237327786
"Wave_412",38.6694706296872
"Wave_413",37.3896365242273
"Wave_414",36.3620647452265
"Wave_415",35.4793303973141
"Wave_416",34.090289866307
"Wave_417",32.6020762392097
"Wave_418",31.2028340463816
"Wave_419",29.9338863487993
"Wave_420",28.5582941530241
"Wave_421",26.9378298803294
"Wave_422",25.3732435106239
"Wave_423",24.4161765237924
"Wave_424",22.7271589548288
"Wave_425",21.151825297736
