"","x"
"Wave_471",1.22484882939802
"Wave_472",1.22547799218942
"Wave_473",1.2272264858168
"Wave_474",1.23036024001508
"Wave_475",1.23319962457151
"Wave_476",1.23417140777039
"Wave_477",1.23258687018882
"Wave_478",1.2288635994771
"Wave_479",1.22781306100536
"Wave_480",1.22944231391516
"Wave_481",1.23172936174166
"Wave_482",1.23025456424943
"Wave_483",1.22769306438951
"Wave_484",1.22414452682004
"Wave_485",1.21890035998579
"Wave_486",1.21765087944933
"Wave_487",1.21554196024412
"Wave_488",1.21080674198759
"Wave_489",1.20776589670957
"Wave_490",1.20561159253102
"Wave_491",1.20353650948568
"Wave_492",1.20058117923899
"Wave_493",1.19568749274054
"Wave_494",1.19057597590111
"Wave_495",1.18629701853103
"Wave_496",1.1834407729794
"Wave_497",1.17924884898465
"Wave_498",1.17311792338681
"Wave_499",1.16611131510354
"Wave_500",1.1607835716202
"Wave_501",1.15453664786939
"Wave_502",1.14731976973892
"Wave_503",1.14004365871468
"Wave_504",1.13256394472931
"Wave_505",1.12471017810224
"Wave_506",1.11694256127567
"Wave_507",1.10945757449954
"Wave_508",1.10242808123249
"Wave_509",1.09704967456812
"Wave_510",1.09324305647861
"Wave_511",1.0908692040151
"Wave_512",1.09203704679136
"Wave_513",1.0977169754277
"Wave_514",1.10519306046892
"Wave_515",1.11686951641574
"Wave_516",1.1318364165608
"Wave_517",1.14998178425136
"Wave_518",1.17488274596258
"Wave_519",1.20089017226038
"Wave_520",1.22855027098911
"Wave_521",1.25919797248385
"Wave_522",1.28866356722563
"Wave_523",1.31992546594638
"Wave_524",1.35230463529751
"Wave_525",1.38298400324292
"Wave_526",1.4079107816459
"Wave_527",1.43229951240555
"Wave_528",1.45801265290446
"Wave_529",1.48175041353685
"Wave_530",1.50089809192415
"Wave_531",1.51834323451694
"Wave_532",1.53596051367484
"Wave_533",1.55159639604896
"Wave_534",1.56465725991638
"Wave_535",1.5770272191059
"Wave_536",1.58961756541693
"Wave_537",1.60075680914739
"Wave_538",1.6112147659382
"Wave_539",1.62089071548543
"Wave_540",1.63044564151322
"Wave_541",1.63970195232077
"Wave_542",1.64849733609444
"Wave_543",1.65687685495278
"Wave_544",1.66583327756695
"Wave_545",1.67417044300801
"Wave_546",1.68113493992614
"Wave_547",1.68714927520667
"Wave_548",1.69311139998091
"Wave_549",1.69889134652504
"Wave_550",1.70369279252033
"Wave_551",1.70558137455987
"Wave_552",1.706273292978
"Wave_553",1.70609422859302
"Wave_554",1.70432197037096
"Wave_555",1.70060391942462
"Wave_556",1.69540072993218
"Wave_557",1.68892899925476
"Wave_558",1.68085831813758
"Wave_559",1.67275241509913
"Wave_560",1.66445784448837
"Wave_561",1.65584373902582
"Wave_562",1.64749638075233
"Wave_563",1.63934570688273
"Wave_564",1.63181672394724
"Wave_565",1.62503836914069
"Wave_566",1.61851228421099
"Wave_567",1.61264745593439
"Wave_568",1.60783876279025
"Wave_569",1.60257422231952
"Wave_570",1.59743459631131
"Wave_571",1.59280675329286
"Wave_572",1.58879222663645
"Wave_573",1.58381679660465
"Wave_574",1.57901363359273
"Wave_575",1.57557667491361
"Wave_576",1.57393608649785
"Wave_577",1.57332615671858
"Wave_578",1.57438441823834
"Wave_579",1.57760661753941
"Wave_580",1.58009550323723
"Wave_581",1.58383713367009
"Wave_582",1.58902307624942
"Wave_583",1.59387889259023
"Wave_584",1.59601060919058
"Wave_585",1.59662199249529
"Wave_586",1.59771009054932
"Wave_587",1.60127140387119
"Wave_588",1.60686207219141
"Wave_589",1.6131144599638
"Wave_590",1.61861561931551
"Wave_591",1.62563331850092
"Wave_592",1.63290377908472
"Wave_593",1.63958020886198
"Wave_594",1.64583542125152
"Wave_595",1.65005575053014
"Wave_596",1.65318085451176
"Wave_597",1.65623075850698
"Wave_598",1.6577345642832
"Wave_599",1.65962708372426
"Wave_600",1.66166935251412
"Wave_601",1.66214252335964
"Wave_602",1.66181888302439
"Wave_603",1.66107564973517
"Wave_604",1.65975926816638
"Wave_605",1.65667948907929
"Wave_606",1.65280491171024
"Wave_607",1.64890323800052
"Wave_608",1.64530867521599
"Wave_609",1.64053121734919
"Wave_610",1.63531914930134
"Wave_611",1.63019246418302
"Wave_612",1.62527559016836
"Wave_613",1.62127129983105
"Wave_614",1.61800355572808
"Wave_615",1.61512827063449
"Wave_616",1.61225244320012
"Wave_617",1.61021564462742
"Wave_618",1.60915497698904
"Wave_619",1.60879581680808
"Wave_620",1.6082059293786
"Wave_621",1.60807433866677
"Wave_622",1.60861107039866
"Wave_623",1.60911255381703
"Wave_624",1.60985893735853
"Wave_625",1.61068095179742
"Wave_626",1.61155986645984
"Wave_627",1.61333100373338
"Wave_628",1.61535535654917
"Wave_629",1.61793176134604
"Wave_630",1.6219365104696
"Wave_631",1.62599042835956
"Wave_632",1.63078310143709
"Wave_633",1.63678902721761
"Wave_634",1.64347832299134
"Wave_635",1.65035267678509
"Wave_636",1.6572727007272
"Wave_637",1.66430407844907
"Wave_638",1.67183958965474
"Wave_639",1.67930969892217
"Wave_640",1.68586977794393
"Wave_641",1.69053735480632
"Wave_642",1.69388510003061
"Wave_643",1.69531601869707
"Wave_644",1.6943735135867
"Wave_645",1.69146960762165
"Wave_646",1.68571455890826
"Wave_647",1.67739472016525
"Wave_648",1.66737125960351
"Wave_649",1.65587826574734
"Wave_650",1.64267464674195
"Wave_651",1.62807692117175
"Wave_652",1.61304591154929
"Wave_653",1.5976215565533
"Wave_654",1.58149745795592
"Wave_655",1.56461122162011
"Wave_656",1.54735730017476
"Wave_657",1.52931053307236
"Wave_658",1.51074013193531
"Wave_659",1.49222037950708
"Wave_660",1.47345947814792
"Wave_661",1.45489219520631
"Wave_662",1.43692829259304
"Wave_663",1.41956130650452
"Wave_664",1.40291795697724
"Wave_665",1.38726292747057
"Wave_666",1.37270872241487
"Wave_667",1.35841107823529
"Wave_668",1.34488642708541
"Wave_669",1.33247515107701
"Wave_670",1.32120800672046
"Wave_671",1.31052808006906
"Wave_672",1.30068937603808
"Wave_673",1.29202015315684
"Wave_674",1.28400096942981
"Wave_675",1.27650125551855
"Wave_676",1.26952338167186
"Wave_677",1.26334525091818
"Wave_678",1.25879711351204
"Wave_679",1.25561008884315
"Wave_680",1.25412457946097
"Wave_681",1.25581358034445
"Wave_682",1.26051013323003
"Wave_683",1.26794530194897
"Wave_684",1.27886187868693
"Wave_685",1.29720588124117
"Wave_686",1.31867852452402
"Wave_687",1.34409319582126
"Wave_688",1.37629184985795
"Wave_689",1.4134409332102
"Wave_690",1.45403906333579
"Wave_691",1.49799380528325
"Wave_692",1.54544932282604
"Wave_693",1.59431158638324
"Wave_694",1.64383493853729
"Wave_695",1.69357612542539
"Wave_696",1.74324302245938
"Wave_697",1.79279999332471
"Wave_698",1.84204178993505
"Wave_699",1.89075001145906
"Wave_700",1.93918814276655
"Wave_701",1.98644992322256
"Wave_702",2.03180136464385
"Wave_703",2.0758607520973
"Wave_704",2.11842534294565
"Wave_705",2.15907427882402
"Wave_706",2.1977923243961
"Wave_707",2.23453633858325
"Wave_708",2.26885305485801
"Wave_709",2.30048713292395
"Wave_710",2.32908477454466
"Wave_711",2.35400543134369
"Wave_712",2.37494891879037
"Wave_713",2.3913850142919
"Wave_714",2.40261322822838
"Wave_715",2.40854996366866
"Wave_716",2.40875772393445
"Wave_717",2.40286735406278
"Wave_718",2.39050814044014
