"","SLA.13.comps"
"Wave_501",0.650730422505443
"Wave_502",-0.865349248566586
"Wave_503",-4.05871470044308
"Wave_504",-6.92034713718447
"Wave_505",-11.0586895380346
"Wave_506",-15.3148059592483
"Wave_507",-16.1549713283821
"Wave_508",-22.07516201589
"Wave_509",-29.8579661356456
"Wave_510",-35.5496780314276
"Wave_511",-39.1134592153487
"Wave_512",-47.0979241820471
"Wave_513",-56.8098049670543
"Wave_514",-61.7977108217795
"Wave_515",-68.2559078041308
"Wave_516",-73.5159392212891
"Wave_517",-77.4574741175162
"Wave_518",-84.8274270980952
"Wave_519",-89.1007623381061
"Wave_520",-91.5945967749466
"Wave_521",-94.1189801019689
"Wave_522",-92.632033356064
"Wave_523",-90.9306892807164
"Wave_524",-89.5532339594686
"Wave_525",-86.6557172449545
"Wave_526",-77.7728713783252
"Wave_527",-68.542268962437
"Wave_528",-62.4277546092326
"Wave_529",-56.2463768475784
"Wave_530",-45.3506263200824
"Wave_531",-33.8213898380463
"Wave_532",-26.8193042144782
"Wave_533",-18.339517410708
"Wave_534",-5.25607312908804
"Wave_535",9.05060226121292
"Wave_536",15.5214029532055
"Wave_537",25.2982431376839
"Wave_538",35.2696359247808
"Wave_539",41.8919758398738
"Wave_540",48.4687312606455
"Wave_541",54.4559453597974
"Wave_542",59.6654500117731
"Wave_543",64.1694259109779
"Wave_544",69.0543557612437
"Wave_545",72.1361450818838
"Wave_546",72.5602024743757
"Wave_547",71.5994662748531
"Wave_548",72.5063535400386
"Wave_549",74.6537395961912
"Wave_550",75.94158348612
"Wave_551",73.7223170545769
"Wave_552",71.2259702011381
"Wave_553",69.7925180083287
"Wave_554",68.9694593256891
"Wave_555",66.3258787303718
"Wave_556",63.4680682825528
"Wave_557",61.0322704789747
"Wave_558",55.9074965836436
"Wave_559",52.41679252701
"Wave_560",48.6430735444952
"Wave_561",41.6103889943378
"Wave_562",36.9634374726907
"Wave_563",31.3993940212497
"Wave_564",24.410768259136
