"","x"
"Wave_350",2.51678582773721
"Wave_351",2.4998764543989
"Wave_352",2.5420781024847
"Wave_353",2.48965060110014
"Wave_354",2.46128803873678
"Wave_355",2.45555252662106
"Wave_356",2.44410526492969
"Wave_357",2.47404326925785
"Wave_358",2.47548893452249
"Wave_359",2.42967983892739
"Wave_360",2.36975980867062
"Wave_361",2.38520803409505
"Wave_362",2.4058316257402
"Wave_363",2.38430624021482
"Wave_364",2.3506430659232
"Wave_365",2.35238492685092
"Wave_366",2.36453101466499
"Wave_367",2.3558330376752
"Wave_368",2.3544847028155
"Wave_369",2.33503241321795
"Wave_370",2.32107163260495
"Wave_371",2.34250626338143
"Wave_372",2.3413335305576
"Wave_373",2.33829316885547
"Wave_374",2.34286037244305
"Wave_375",2.34650047484888
"Wave_376",2.3551791227909
"Wave_377",2.37018099660743
"Wave_378",2.38397949462034
"Wave_379",2.35853662921577
"Wave_380",2.37753192776218
"Wave_381",2.41550871436221
"Wave_382",2.41813515318048
"Wave_383",2.41937854943791
"Wave_384",2.4257013536068
"Wave_385",2.43458371194389
"Wave_386",2.43901026477873
"Wave_387",2.4640730651072
"Wave_388",2.48767195940232
"Wave_389",2.49737861591645
"Wave_390",2.50717736760014
"Wave_391",2.54674014779458
"Wave_392",2.58401169982255
"Wave_393",2.5864132188191
"Wave_394",2.57280788738195
"Wave_395",2.59141611226118
"Wave_396",2.63443131850725
"Wave_397",2.66185145453436
"Wave_398",2.65013327816552
"Wave_399",2.65406043160208
"Wave_400",2.6785511834731
"Wave_401",2.66450990821211
"Wave_402",2.65099759973662
"Wave_403",2.65084770985676
"Wave_404",2.6624775202046
"Wave_405",2.66296874332583
"Wave_406",2.64726534908276
"Wave_407",2.62236755106784
"Wave_408",2.59836202022189
"Wave_409",2.56368942197772
"Wave_410",2.5368159530181
"Wave_411",2.51075592465566
"Wave_412",2.45508368969363
"Wave_413",2.39601656518344
"Wave_414",2.34253339925583
"Wave_415",2.29221776576128
"Wave_416",2.22526375081733
"Wave_417",2.15720654221312
"Wave_418",2.09305966891828
"Wave_419",2.03203505713427
"Wave_420",1.96542076113424
"Wave_421",1.89565831919721
"Wave_422",1.82992084596362
"Wave_423",1.7763773895865
"Wave_424",1.70515532702934
"Wave_425",1.6382141612926
"Wave_426",1.58748324728822
"Wave_427",1.53081712332831
"Wave_428",1.46839539126224
"Wave_429",1.40629075502018
"Wave_430",1.35063109068389
"Wave_431",1.29460525064943
"Wave_432",1.24593095893309
"Wave_433",1.20156477481792
"Wave_434",1.151217116641
"Wave_435",1.11128462711432
"Wave_436",1.07202417477922
"Wave_437",1.02948520451956
"Wave_438",0.997764962263454
"Wave_439",0.966164712328049
"Wave_440",0.935749678878707
"Wave_441",0.91030243524403
"Wave_442",0.888130945044196
"Wave_443",0.87087813475841
"Wave_444",0.853615891568643
"Wave_445",0.827361266672721
"Wave_446",0.814713487541439
"Wave_447",0.802554571887239
"Wave_448",0.783075135992668
"Wave_449",0.771031622552707
"Wave_450",0.76009952208339
"Wave_451",0.750944927699975
"Wave_452",0.744447655546283
"Wave_453",0.73100467790042
"Wave_454",0.721110524536361
"Wave_455",0.715959741244128
"Wave_456",0.708103042556946
"Wave_457",0.700006517711293
"Wave_458",0.69156839824265
"Wave_459",0.683356400920138
"Wave_460",0.678044975280436
"Wave_461",0.671325613388786
"Wave_462",0.663276309294302
"Wave_463",0.656012247661801
"Wave_464",0.653336381138591
"Wave_465",0.650625033333656
"Wave_466",0.646396331525235
"Wave_467",0.642812615397191
"Wave_468",0.639754138959179
"Wave_469",0.637155828245569
"Wave_470",0.635079072152844
"Wave_471",0.633771845933595
"Wave_472",0.631406905481697
"Wave_473",0.629282181057338
"Wave_474",0.629084264218844
"Wave_475",0.627753289115459
"Wave_476",0.626459277974886
"Wave_477",0.625667292788567
"Wave_478",0.62484528246214
"Wave_479",0.624141094746843
"Wave_480",0.623720929481673
"Wave_481",0.623755828697984
"Wave_482",0.624247596372869
"Wave_483",0.624263553683979
"Wave_484",0.624283725851098
"Wave_485",0.625271318629589
"Wave_486",0.626720638688826
"Wave_487",0.628417856892474
"Wave_488",0.630348640153707
"Wave_489",0.632965639983585
"Wave_490",0.636196843015616
"Wave_491",0.6397200751006
"Wave_492",0.643357398424893
"Wave_493",0.647897439634531
"Wave_494",0.653322780558126
"Wave_495",0.659296580657121
"Wave_496",0.665315060876585
"Wave_497",0.671977036055622
"Wave_498",0.679497169732592
"Wave_499",0.687896741005942
"Wave_500",0.697187860297977
"Wave_501",0.706697969022969
"Wave_502",0.716685714142265
"Wave_503",0.727718024277995
"Wave_504",0.739581123793139
"Wave_505",0.752428146350122
"Wave_506",0.765853337828864
"Wave_507",0.778997559131844
"Wave_508",0.793529342818365
"Wave_509",0.80937754301274
"Wave_510",0.826173706541444
"Wave_511",0.843584428352603
"Wave_512",0.861855547570448
"Wave_513",0.881223677352607
"Wave_514",0.901905441305194
"Wave_515",0.923731787796474
"Wave_516",0.946788871462976
