Ci,Photo,gs,Tleaf,PPFD,Plot,Repeat,Rep,Name,PlotRepeat
290.76975454178984,29.680607304192304,0.6496163059822013,26.661639121723958,1800.02,1001,1,1,B1K-42-07,1001 1
217.76530085792606,22.557291111906363,0.6560947391224208,26.64700644395001,1800.01,1001,1,1,B1K-42-07,1001 1
149.2281662632792,13.900240740111746,0.6630476858058989,26.638174491075336,1800.01,1001,1,1,B1K-42-07,1001 1
81.5446453065849,4.868554556101156,0.6649742122165946,26.63351222385066,1800.01,1001,1,1,B1K-42-07,1001 1
64.43584840667667,2.6560037951849225,0.663272708508725,26.6295785451775,1800.06,1001,1,1,B1K-42-07,1001 1
376.859881909651,32.986279607317826,0.6468153246588414,26.663576936939755,1800.02,1001,1,1,B1K-42-07,1001 1
552.2138543125023,38.542589916536826,0.6397432513224536,26.65760462411893,1800.03,1001,1,1,B1K-42-07,1001 1
843.9702670474418,38.241413521585805,0.625006898604517,26.689697343132398,1800,1001,1,1,B1K-42-07,1001 1
1038.7591332498082,37.8064050470032,0.6131142156414565,26.729269265218733,1799.99,1001,1,1,B1K-42-07,1001 1
1232.98180174338,37.66319397027079,0.604502146465837,26.739775988192203,1800.01,1001,1,1,B1K-42-07,1001 1
1425.5268552676885,37.64120081906689,0.5867687053898684,26.765192690990634,1800.01,1001,1,1,B1K-42-07,1001 1
1619.9984499531142,37.23365731238017,0.5763171349576272,26.794089063549524,1799.99,1001,1,1,B1K-42-07,1001 1
287.7227974595891,22.25486266352874,0.44676615928703,27.599513454246935,1799.85,1001,2,1,B1K-42-07,1001 2
216.44905822442865,16.483009893300267,0.44431787736044936,27.609625049997128,1799.83,1001,2,1,B1K-42-07,1001 2
147.67719948632717,10.36813585997039,0.45074795457434597,27.60536005705989,1800.14,1001,2,1,B1K-42-07,1001 2
82.73604754055572,3.220356724387108,0.4531608868661097,27.604110259578636,1800.15,1001,2,1,B1K-42-07,1001 2
66.34926786045214,1.483288663147448,0.4514858560505973,27.616122904633066,1799.86,1001,2,1,B1K-42-07,1001 2
295.0461320445068,20.83853103746827,0.4509709024129083,27.612923734700242,1799.81,1001,2,1,B1K-42-07,1001 2
368.6272980235732,25.689703312457514,0.4430235006743719,27.621227672172633,1799.79,1001,2,1,B1K-42-07,1001 2
536.9787209219538,31.568983278032363,0.4450123803954911,27.639535474332654,1800.09,1001,2,1,B1K-42-07,1001 2
820.420744013447,33.34940472037708,0.4417721047822873,27.640194902418713,1799.79,1001,2,1,B1K-42-07,1001 2
1008.3077869641137,34.11367213082243,0.4291039080862647,27.668818504743633,1799.8,1001,2,1,B1K-42-07,1001 2
1199.2729163203912,34.222983796824025,0.4186580378098445,27.694858927008106,1800.09,1001,2,1,B1K-42-07,1001 2
1384.9247851243772,35.11532308896385,0.4023408119022196,27.732653042859102,1800.1,1001,2,1,B1K-42-07,1001 2
1578.3617865584843,34.884000291915775,0.3948887922279535,27.73810741700597,1800.11,1001,2,1,B1K-42-07,1001 2
288.80741098066426,31.133599725163716,0.6778011899642846,27.06960190530028,1799.81,1001,3,1,B1K-42-07,1001 3
216.3789920475429,23.256924714155115,0.6704126275310256,27.045307615069706,1800.13,1001,3,1,B1K-42-07,1001 3
146.97239297588098,14.833919890327083,0.6772221047025312,27.015580742032586,1800.11,1001,3,1,B1K-42-07,1001 3
81.66050993773143,4.870283486445104,0.6756715499884199,26.990536171145358,1799.83,1001,3,1,B1K-42-07,1001 3
64.70760275396016,2.608390347535408,0.6701345400943519,26.993160301063643,1799.87,1001,3,1,B1K-42-07,1001 3
365.9515640847683,36.10314149407681,0.6417626417258633,27.040413431623033,1799.92,1001,3,1,B1K-42-07,1001 3
535.6979773027779,43.10745117519144,0.6322013385059901,27.037066367085053,1799.96,1001,3,1,B1K-42-07,1001 3
822.9446948852024,44.37941513991602,0.6237829766801661,27.04224089387119,1799.95,1001,3,1,B1K-42-07,1001 3
1016.3393884080626,44.364657776095996,0.6152193893143414,27.057680718478835,1800.01,1001,3,1,B1K-42-07,1001 3
1206.4657810424321,45.79080999537335,0.6124929946969042,27.08070789359475,1800,1001,3,1,B1K-42-07,1001 3
1401.0945159518265,44.922847684219995,0.5990217340706747,27.117767844867135,1800,1001,3,1,B1K-42-07,1001 3
1588.0727833164758,46.45380569235989,0.5804984648362427,27.147167809978036,1800.01,1001,3,1,B1K-42-07,1001 3
284.27557360724,25.323193993425235,0.463462234398396,27.702193726296166,1800.04,1012,1,1,B1K-31-19,1012 1
216.38550095224772,18.8035977741863,0.480857660271022,27.665665024999996,1800.02,1012,1,1,B1K-31-19,1012 1
147.98588145129156,11.65673970656799,0.4836637108988513,27.66029803892997,1800.02,1012,1,1,B1K-31-19,1012 1
83.09861243383409,3.6916759073211605,0.5000479422874593,27.634219868532764,1800.04,1012,1,1,B1K-31-19,1012 1
67.31969381427241,1.517324410617551,0.5092562884937218,27.625578921866254,1800.12,1012,1,1,B1K-31-19,1012 1
383.04409202967116,27.22192130627821,0.5143173228753781,27.6021630166662,1799.78,1012,1,1,B1K-31-19,1012 1
560.9609271721149,31.544661975041,0.5086182318454083,27.605107473318604,1800.07,1012,1,1,B1K-31-19,1012 1
856.025905749052,30.744020677988477,0.5059284742265888,27.603077955703377,1800.07,1012,1,1,B1K-31-19,1012 1
1050.3946485991391,30.858189068394395,0.5027701150726691,27.608668912668602,1800.08,1012,1,1,B1K-31-19,1012 1
1243.5150022362145,31.00319062612205,0.4966038871305372,27.612927218106535,1800.09,1012,1,1,B1K-31-19,1012 1
