"","Genotype","SLA"
"178","B1K-25-13",224.068147901722
"179","B1K-25-15",231.061701222931
"180","B1K-25-20",207.595423296811
"181","B1K-26-03",234.95608478241
"182","B1K-26-05",238.220835078683
"183","B1K-26-08",231.240685594421
"184","B1K-26-09",176.881509757911
"185","B1K-26-11",208.300530913535
"186","B1K-26-13",271.62602490041
"187","B1K-26-16",227.89567141887
"188","B1K-26-17",231.828887201428
"189","B1K-27-02",272.077754905247
"190","B1K-27-08",231.30652477036
"191","B1K-27-11",230.612488070382
"192","B1K-27-15",244.129256393946
"193","B1K-27-19",262.547968700781
"194","B1K-28-01",238.604757198722
"195","B1K-28-07",224.816147571359
"196","B1K-28-10",233.356833153756
"197","B1K-28-13",196.248864527136
"198","B1K-28-15",259.611136138793
"199","B1K-28-17",224.799582213277
"200","B1K-29-02",196.024748562521
"201","B1K-29-05",216.734218184106
"202","B1K-29-13",233.733190126569
"203","B1K-29-20",237.334085007732
"204","B1K-30-03",258.446172254517
"205","B1K-30-07",191.34789731277
"206","B1K-30-11",257.268253341885
"207","B1K-30-13",263.294672908393
"208","B1K-30-20",257.112292260289
"209","B1K-31-01",244.399178625405
"210","B1K-31-05",227.756422521907
"211","B1K-31-11",220.634363425706
"212","B1K-31-15",231.432568270313
"213","B1K-31-19",237.301109972546
"214","B1K-32-02",273.248288689292
"215","B1K-32-08",209.394932752308
"216","B1K-32-09",204.585289258148
"217","B1K-32-13",250.756847422702
"218","B1K-32-18",223.408924516975
"219","B1K-32-20",233.475435378426
"220","B1K-33-03",213.089325825788
"221","B1K-33-06",197.555718574432
"222","B1K-33-09",230.982038571177
"223","B1K-33-12",272.95384446588
"224","B1K-33-19",189.647408687759
"225","B1K-34-02",225.693812445759
"226","B1K-34-05",274.213981570296
"227","B1K-34-06",213.913943557059
"228","B1K-34-10",276.229644106676
"229","B1K-34-14",178.266600585324
"230","B1K-34-19",227.588697415359
"231","B1K-34-20",228.112958859893
"232","B1K-35-03",247.235918336165
"233","B1K-35-04",268.69520124722
"234","B1K-35-07",232.24351775141
"235","B1K-35-08",272.101368376618
"236","B1K-35-11",240.255288197886
"237","B1K-35-13",211.951297005583
"238","B1K-35-19",242.04329405631
"239","B1K-35-20",230.311580921893
"240","B1K-36-02",254.239899120185
"241","B1K-36-04",179.39074693258
"242","B1K-36-06",195.690169975459
"243","B1K-36-11",191.252415538907
"244","B1K-36-15",242.136207742855
"245","B1K-36-16",215.935318400734
"246","B1K-36-19",215.654100716514
"247","B1K-37-02",280.087142830783
"248","B1K-37-06",231.119628643723
"249","B1K-37-11",218.390810023469
"250","B1K-37-15",228.964163493082
"251","B1K-37-19",234.877714478973
"252","B1K-37-20",234.905762258279
"253","B1K-38-01",225.344351420071
"254","B1K-38-08",223.236799901898
"255","B1K-38-12",256.485886620041
"256","B1K-38-14",251.122791669472
"257","B1K-38-20",203.955979532718
"258","B1K-39-02",199.093914200142
"259","B1K-39-07",237.268547741256
"260","B1K-39-12",200.962502037644
"261","B1K-39-16",230.983558372082
"262","B1K-40-02",261.729582037115
"263","B1K-40-11",232.156053201915
"264","B1K-40-17",217.630327455355
"265","B1K-41-03",249.895055115045
"266","B1K-41-08",266.032561702324
"267","B1K-41-11",219.320074522292
"268","B1K-41-13",228.855813681729
"269","B1K-41-18",294.705697959509
"270","B1K-42-01",228.951809970434
"271","B1K-42-07",249.841430278261
"272","B1K-42-10",238.831471496098
"273","B1K-42-16",244.218329735553
"274","B1K-42-17",233.865634826072
"275","B1K-42-19",201.288204496372
"276","B1K-43-04",220.607208854895
"277","B1K-43-05",224.383946232498
"278","B1K-43-11",196.021474953888
"279","B1K-43-14",226.404629106675
"280","B1K-43-15",245.113917203227
"281","B1K-43-20",252.60937202424
"282","B1K-44-02",266.841677327644
"283","B1K-44-06",265.564529785442
"284","B1K-44-09",240.568250016459
"285","B1K-44-14",232.820409714594
"286","B1K-44-20",216.363257005438
"287","B1K-45-02",234.242346614549
"288","B1K-45-05",220.17378033661
"289","B1K-45-09",224.313706286017
"290","B1K-45-10",223.994197166395
"291","B1K-45-18",234.224800270012
"292","B1K-46-03",249.058891504608
"293","B1K-46-07",232.985879157441
"294","B1K-46-15",248.201364432065
"295","B1K-46-20",226.452863912906
"296","B1K-47-04",228.925914274987
"297","B1K-47-08",240.943136634396
"298","B1K-47-12",208.880837062498
"299","B1K-47-20",253.916647614892
"300","B1K-48-03",250.411647868982
"301","B1K-48-06",230.439136888785
"302","B1K-48-11",220.60897831591
"303","B1K-48-13",269.089077504672
"304","B1K-49-04",173.806136496014
"305","B1K-49-08",256.961994427422
"306","B1K-49-10",231.78638413164
"307","B1K-49-11",273.546745672132
"308","B1K-49-13",270.983321550614
"309","B1K-49-18",243.185173073006
"310","B1K-50-04",184.891710845991
"311","B1K-50-07",186.872473506011
"312","B1K-50-12",230.511090760174
"313","B1K-50-14",197.473386501494
"314","B1K-50-20",185.399146554491
"315","B1K-51-01",220.803461721458
"316","B1K-51-04",236.43148458152
"317","B1K-51-07",198.117214522597
"318","B1K-51-10",245.885646789388
"319","B1K-51-13",303.677708024013
"320","B1K-51-19",219.91238478911
