"","Genotype","a_fit","b_fit","c_fit","d_fit","e_fit","f_fit","g_fit","h_fit","end_NPQ","max_amp","gradient","end_FvFm"
"46","B1K-08-02",3.66808412527345,0.00572932925813568,3.27971833324876,0.0188880042473003,0.310408062526592,0.275428912002088,0.0136457696157591,0.512977953128966,0.25784947221312,3.59904860921691,0.0343161781801135,0.792481630096469
"47","B1K-08-03",3.91198503747847,0.00420461008308972,3.17467403497319,0.0156210842658001,0.386102019115177,0.265494992341033,0.0121232492533605,0.528937274429064,0.361887554792379,3.52850712765556,0.0234635231666645,0.791850478154711
"48","B1K-08-05",3.78114001725272,0.00657001682341101,3.26977651055625,0.0200404583408692,0.390502560356559,0.267119221135236,0.014081568360352,0.521170478205616,0.283803466495943,3.6373220588974,0.0296833279005453,0.797312217993151
"49","B1K-08-06",3.85259474375626,0.00528370839443783,3.28963751446011,0.021585987230674,0.407758773406831,0.264975450452847,0.0156096416998308,0.520824048974482,0.341003337603421,3.69235682984061,0.032092813392909,0.786939258809138
"50","B1K-08-08",3.68115931592425,0.00719859838986076,3.21653740593657,0.0127434494791577,0.383852533657712,0.267848328371729,0.0097769020898499,0.52171377695574,0.320566771072486,3.55417637417798,0.026189869298229,0.790322567154226
"51","B1K-08-09",4.06399377126713,0.00586882386182684,3.4956502462156,0.0144608270883922,0.378172592453456,0.288481366787271,0.0104794852638844,0.494547590268579,0.316298751466945,3.86177953215291,0.0350551860212257,0.783792228844603
"52","B1K-08-10",3.8048388214901,0.00627312469653035,3.37445681594941,0.0170956993648671,0.343757071347774,0.276248377292577,0.0124377741351325,0.520506715665151,0.297567980459689,3.73162829265971,0.034676067353744,0.797060074277396
"53","B1K-08-15",3.58583961214125,0.00526160015825441,2.98412984149086,0.0179315267981558,0.414439272358251,0.26286430372999,0.0131569895917879,0.503239937372061,0.366122348821022,3.39045211338593,0.0310901883461509,0.768599568116345
"54","B1K-08-16",3.40070409527955,0.0074670836293205,3.02896671579324,0.0167774227172229,0.380975308572357,0.253795854529289,0.0122438059117891,0.538794472983002,0.291299033198362,3.41537654102998,0.0361468624905141,0.798126829177839
"55","B1K-08-17",4.23430545598493,0.00565414540427021,3.58367827834826,0.017933891659279,0.456956690667883,0.284010022883266,0.0123582898522175,0.490391258158059,0.371433812079325,4.06586012868777,0.0351548057821298,0.776922492950738
"56","B1K-08-18",3.87070832280478,0.00765921482085116,3.3954416677839,0.0144639814001029,0.449985520901895,0.276346437881385,0.0109764262615775,0.508791562518819,0.374585428419399,3.84051343847283,0.0392090095427033,0.789106932012004
"57","B1K-09-01",3.78980481408871,0.00834004706211565,3.42296577618642,0.0141028442438268,0.378348287254652,0.282434155732222,0.0110787341016745,0.501168399874986,0.378083786435667,3.74359672610756,0.0352776609089835,0.779755440621003
"58","B1K-09-03",3.49983623118308,0.00729620845924556,3.23135285840494,0.0120860854117903,0.336795696738695,0.271635555066496,0.00972057998194379,0.517661765664653,0.344897425509692,3.50745301773349,0.0349830045019886,0.785097763846774
"59","B1K-09-04",3.56837851121613,0.00801192936936421,3.33375301177435,0.0147803000366505,0.335355806949781,0.28413955700394,0.011245376715099,0.495044906363501,0.325071804641745,3.61231626896482,0.0411044064851592,0.77692351894008
"60","B1K-09-07",4.23214817212626,0.00658846638963602,3.50830338856327,0.0147137657701552,0.469812735941424,0.276044770323664,0.0107208173326702,0.507959374961998,0.396611992814223,3.9763315767127,0.023850471934322,0.788290223883296
"61","B1K-09-09",3.80570539137188,0.00714604387606228,3.28797716849114,0.0181873467266547,0.381993667805238,0.273450372623687,0.0132838785503177,0.507907094329497,0.33183402248786,3.68793751924581,0.0324831772178051,0.782050494694268
"62","B1K-09-10",3.80014401593722,0.00669821765476676,3.3540220222496,0.0205845864566632,0.362392162915143,0.277668689924958,0.0148884546268433,0.511579502192837,0.308443530293165,3.71845346844762,0.0329233185687297,0.790931311513064
"63","B1K-09-11",3.9541424864832,0.00940777294814625,3.58677954334969,0.0147783847593867,0.450057918933535,0.28909496587634,0.0107979353288671,0.473466966473892,0.414764470821552,4.01074742456086,0.042423762096004,0.761328481421146
"64","B1K-09-16",4.15620896630536,0.006771097774469,3.68198250008554,0.0166685632028338,0.415070643719104,0.292731608127487,0.0122881480447693,0.490413126213284,0.359233535434428,4.0444294909508,0.0330345631475206,0.78580403064048
