"","Genotype","mean_Asat","mean_gs_Asat","mean_Alow","mean_gs_Alow"
"1","B1K-01-20",23.3406216655034,0.257360822451606,8.70691996881699,0.159860796454432
"2","B1K-02-01",21.6875036980668,0.206085460035044,8.87360150232857,0.160835658764618
"3","B1K-02-02",26.5178114055525,0.285124454207761,9.8741930073852,0.227837274054905
"4","B1K-02-04",17.2325280767745,0.203536935235457,7.94915833405461,0.162644561968238
"5","B1K-02-05",11.8001241364755,0.16192532836071,6.08477088959521,0.121825890980685
"6","B1K-02-06",14.9514351375934,0.155186730961939,7.30547578915971,0.163027240866072
"7","B1K-02-10",12.4871302648984,0.136013088641217,7.17471170179275,0.118736599452054
"8","B1K-02-12",18.6953970040203,0.19197215208627,7.64216845243024,0.142587261617614
"9","B1K-02-13",16.6376606667496,0.265395435902071,8.81237175886183,0.24338027692575
"10","B1K-02-14",26.4727167639197,0.328640190811049,10.3885622049838,0.308162895024289
"11","B1K-02-16",25.7633341929496,0.291147028639777,9.85296241969381,0.200162950306159
"12","B1K-02-18",27.9129652478512,0.29667754140559,10.9297497768881,0.257670648908518
"13","B1K-03-03",21.5756715151262,0.176773540482784,9.56696145768124,0.133344642664894
"14","B1K-03-04",22.6100756712737,0.32624585783541,8.92039726457176,0.186673925656895
"15","B1K-03-09",25.7954179769335,0.25358455688097,9.47791693177158,0.174946043412632
"16","B1K-03-10",13.2383979737915,0.135052250613711,6.96287858441922,0.107089864986895
"17","B1K-03-11",18.9192942134001,0.158940720304364,7.7954047966701,0.130748147506875
"18","B1K-03-14",24.7168835565349,0.282855240280977,9.13533774626867,0.155225240385224
"19","B1K-03-16",26.9206425139076,0.288075902136526,9.46039168233407,0.169860985761196
"20","B1K-03-17",20.0781246176069,0.241770354028554,8.15102100707042,0.175513276227608
"21","B1K-04-03",26.7160137394844,0.325847582118096,9.63308422486108,0.239780323892967
"22","B1K-04-04",23.1099806962188,0.22314474700778,8.98671197549502,0.171363849023417
"23","B1K-04-08",20.0250160216723,0.210999539187392,7.77941402751252,0.161391684342622
"24","B1K-04-12",25.4377928762173,0.386891693143795,7.78805273896771,0.242442681990746
"25","B1K-04-19",16.605681717901,0.164615594330482,5.88257269080642,0.136424146558407
"26","B1K-04-20",16.9146159884056,0.160821612766122,7.37924482310436,0.156329235569996
"27","B1K-05-03",14.4772643957687,0.150540423071228,5.75399612492077,0.123060033121038
"28","B1K-05-07",9.41697186935217,0.1359390182659,4.01925749637665,0.110743018716147
"29","B1K-05-08",18.132622599554,0.12747347632541,7.7579773901386,0.0819691064625406
"30","B1K-05-10",14.0948319064063,0.136224033853737,6.10519854717679,0.115517279327375
"31","B1K-05-12",18.1824240500524,0.130155973770702,8.08204648276741,0.114925111586708
"32","B1K-05-13",20.6425588338091,0.189969676192093,7.18816619643278,0.13502499307184
"33","B1K-05-16",13.4271722545603,0.126335263415856,7.24416028515951,0.132506116680123
"34","B1K-05-17",17.4871983404764,0.151308490734693,8.25297201876373,0.124235316549778
"35","B1K-06-01",20.9115298712466,0.198064083973986,7.58877446497627,0.153322370204113
"36","B1K-06-06",19.2946837689483,0.1448468987262,6.62705922115515,0.0743112777971205
"37","B1K-06-07",21.0836651132523,0.288879195451607,7.78716194789923,0.168243481948873
"38","B1K-06-10",24.0273314906869,0.294701839892808,9.02125143835558,0.285694594206448
"39","B1K-06-14",18.6051236456327,0.203654402205523,8.11638433268673,0.142964836552886
"40","B1K-06-15",25.4137837074086,0.366423740355773,9.13646791089968,0.304659598002746
"41","B1K-06-19",22.022405710666,0.266627893020172,7.70110916288245,0.18377820321065
"42","B1K-06-20",17.1795800387225,0.172927994361669,7.62766106883187,0.157118353068943
"43","B1K-07-02",26.1294481661227,0.278304885315512,10.0640425793135,0.22430674503932
"44","B1K-07-05",24.3281967402599,0.263200394115747,9.41444603932317,0.233861633344658
"45","B1K-08-01",27.4740881115346,0.352916925138356,9.26322716223236,0.280547645190966
"46","B1K-08-02",20.3878132693143,0.204549276917552,7.66934211559258,0.165257776728779
"47","B1K-08-03",23.0912597461165,0.282825653351645,8.43477071992722,0.200303353184119
"48","B1K-08-05",24.1197526349794,0.28306136968131,8.95754228170907,0.23538168604458
"49","B1K-08-06",23.0558708348207,0.283508401926579,8.5598547239157,0.226137378058132
"50","B1K-08-08",17.6042801994474,0.194699980855835,6.78148348539588,0.133360439348633
"51","B1K-08-09",16.2170359508098,0.273123797335934,7.88210667384283,0.194986699822215
"52","B1K-08-10",21.1467444357126,0.31570673986737,8.99414505020937,0.28469823961043
"53","B1K-08-15",20.6896988785553,0.219451706367434,8.35731465138716,0.199077660367989
"54","B1K-08-16",20.3765337085922,0.255767924579942,7.82732861233466,0.201512170438338
"55","B1K-08-17",17.4177685823869,0.151831333988533,6.79811082163566,0.0994767207949296
"56","B1K-08-18",17.4007708459379,0.149314291873914,8.03232380530232,0.138647177693091
"57","B1K-09-01",22.142771861157,0.264501469387272,9.61136456504165,0.231914377818478
"58","B1K-09-03",19.455770348797,0.189180494800072,6.96841929697862,0.149008668472819
"59","B1K-09-04",16.5360815936905,0.144331987175981,7.71704106720904,0.130085810320804
"60","B1K-09-07",18.9646605331543,0.223228504243189,9.43380490485766,0.216527485405135
"61","B1K-09-09",22.9304344351287,0.247731957509871,9.68858084482954,0.213431638942351
"62","B1K-09-10",32.0254076951153,0.402730610015867,11.2847700441998,0.290617811602915
"63","B1K-09-11",25.6893701543291,0.300500163978857,10.4092373542125,0.248633756223511
"64","B1K-09-16",22.7898837865561,0.30732042221225,9.1367427824931,0.164570230266364
"65","B1K-09-18",24.056059475012,0.262686081670481,9.87145139258491,0.188125908387078
"66","B1K-10-01",24.4438484522453,0.234736413759695,10.0682892652039,0.138155230170343
"67","B1K-10-03",21.0834259897655,0.269723341289352,8.65085065039599,0.158846520756337
"68","B1K-10-10",22.2155894711079,0.273197647344089,8.88115461314155,0.222789192392466
"69","B1K-10-12",17.1336376893527,0.189532010554872,7.13379342985796,0.115736088238155
"70","B1K-10-13",17.3423881461498,0.212666249214114,8.1556580118548,0.171856082125003
"71","B1K-10-18",23.7509375319687,0.253921212777922,9.76822405712446,0.211432736520468
"72","B1K-11-04",22.3224905070918,0.21986974556645,9.04961709977497,0.150277716195781
"73","B1K-11-05",24.5737328074182,0.268822714853318,10.4446246869131,0.216989203486269
"74","B1K-11-09",17.8257606252852,0.191205255953911,7.84024956389275,0.107767566627975
"75","B1K-11-10",18.7464620738217,0.198284501237142,8.3273290238671,0.109859665095755
"76","B1K-11-15",20.4883752303856,0.224879585777046,8.75013378561156,0.195211312516708
"77","B1K-11-16",20.1603459217447,0.249252393246365,8.15954223924329,0.183573621614606
"78","B1K-11-18",18.1281409883937,0.20707258358473,6.8013697061131,0.121709018306422
"79","B1K-11-20",24.0297609409301,0.230817182319746,9.17279103909389,0.194000781325941
"80","B1K-12-03",8.91522321003759,0.062146751149937,3.97001795415385,0.0379075149640967
"81","B1K-12-05",20.6671828721863,0.198375472970485,8.15914013706953,0.141226630798998
"82","B1K-12-06",20.2451340296644,0.19046912931417,8.16619984182461,0.107455067153342
"83","B1K-12-10",12.4848106311201,0.155689821232109,6.06404253574873,0.118711075746082
"84","B1K-13-03",21.5927878443754,0.241456333292261,8.68908115464014,0.205138116623848
"85","B1K-13-06",25.1852396212083,0.345281418516103,8.59148565876508,0.258105057460922
"86","B1K-13-10",27.4754515773698,0.476552157008205,9.13276549664206,0.399824948399812
"87","B1K-13-14",22.3063598790033,0.261011379436505,7.80344822915547,0.148212213450657
"88","B1K-13-15",19.1723292717348,0.185522842697771,8.37727531742244,0.166489505048518
"89","B1K-13-20",24.7459020274909,0.329165891050721,9.34214103551553,0.289367554302186
"90","B1K-14-01",26.2722034485214,0.309489406804135,10.277936523977,0.241945494735004
"91","B1K-14-04",22.4774564139542,0.239875673439111,8.39778665245688,0.175477480093515
"92","B1K-14-06",14.6821424286622,0.150635553696327,6.90741836466299,0.116723587174698
"93","B1K-14-12",16.6645536547809,0.178739419517802,6.2546066246292,0.115862137581502
"94","B1K-14-13",23.7146954724811,0.31796127287973,9.43523267372483,0.299021058194336
"95","B1K-14-17",23.4179617576195,0.31533115476471,7.90315050163608,0.245157552035954
"96","B1K-15-04",26.4882839203208,0.351912189836136,8.94426207959483,0.249031891776725
"97","B1K-15-05",23.1038243111115,0.287160408897595,8.31466159859944,0.203384286082415
"98","B1K-15-06",21.5724932745162,0.218643100070538,9.19666114503629,0.186000480324178
"99","B1K-15-07",25.0443480666275,0.277864049883934,9.57244487525466,0.243373862517805
"100","B1K-15-12",22.6215610670713,0.276513921616098,8.90956733623042,0.1478846341378
"101","B1K-15-17",26.5597051933155,0.303608756637329,9.13730386132368,0.189180677034116
"102","B1K-15-19",21.6941469629359,0.318170182997002,8.23543104670615,0.205132993982901
"103","B1K-15-20",17.6407680360645,0.205552952591012,7.36192908322184,0.153666388177026
"104","B1K-16-01",21.554120886176,0.284504605841897,8.45580941043742,0.240890791352954
"105","B1K-16-06",23.327748000413,0.276208154675515,8.28006014900424,0.187532130438491
"106","B1K-16-10",26.5111520751741,0.332215817296829,8.94705711141073,0.273027851307165
"107","B1K-16-15",25.6855795788098,0.302250378551049,9.07187534857581,0.214915877675262
"108","B1K-16-20",23.873899319692,0.168012981584413,11.0009211870995,0.127100557284825
"109","B1K-17-01",26.3881624678604,0.288194389311774,10.5389019232722,0.22995210338898
"110","B1K-17-03",25.5642414549275,0.329431998531337,8.98569300285952,0.24538467133683
"111","B1K-17-07",25.095135415668,0.303883265461016,9.55300860905197,0.254971262951825
"112","B1K-17-10",29.6364199159072,0.363853728337694,10.0175437069346,0.23133609682134
"113","B1K-17-13",23.5840661206133,0.221227782788503,8.56081563317678,0.150501668976856
"114","B1K-17-17",24.7838400813312,0.237957372494531,9.10764503567591,0.18352433517618
"115","B1K-17-18",16.2576034045045,0.179731032382331,6.86837336789806,0.139665845232357
"116","B1K-18-02",21.5760358213192,0.209767621025367,9.42081230679928,0.151173267163226
"117","B1K-18-03",29.6395563545885,0.384626414146489,10.2982756224465,0.29943694090317
"118","B1K-18-05",24.0010348766019,0.222581820451258,8.18920282321465,0.137186082490602
"119","B1K-18-09",25.9271981930528,0.27608702569602,9.44550109032492,0.192105274197286
"120","B1K-18-16",20.249464903702,0.180821815958802,9.19110621364872,0.124620038591951
"121","B1K-18-17",21.6647195137192,0.229062797585176,8.51028621295712,0.168151814337026
"122","B1K-18-18",24.7474494971273,0.254533288584879,8.32100317473111,0.109936492732537
"123","B1K-19-01",19.8269680488285,0.24522587860163,7.54779879296419,0.174736702503717
"124","B1K-19-05",25.2662338526306,0.291450083326966,9.35077074905945,0.188998289901172
"125","B1K-19-08",28.0997049825721,0.319527792351472,10.0690597652695,0.291721487836094
"126","B1K-19-12",31.9649485487928,0.433960338772735,11.467121904798,0.357018642667923
